ID,Prob1
0, 0.57
1, 0.36
2, 0.19
3, 0.03
4, 0.15
5, 0.17
6, 0.04
7, 0.24
8, 0.05
9, 0.25
10, 0.38
11, 0.30
12, 0.16
13, 0.46
14, 0.24
15, 0.37
16, 0.12
17, 0.84
18, 0.04
19, 0.19
20, 0.74
21, 0.72
22, 0.21
23, 0.57
24, 0.21
25, 0.95
26, 0.50
27, 0.18
28, 0.26
29, 0.27
30, 0.47
31, 0.25
32, 0.11
33, 0.43
34, 0.46
35, 0.60
36, 0.19
37, 0.14
38, 0.04
39, 0.25
40, 0.12
41, 0.04
42, 0.43
43, 0.35
44, 0.53
45, 0.24
46, 0.46
47, 0.33
48, 0.77
49, 0.67
50, 0.24
51, 0.30
52, 0.96
53, 0.05
54, 0.36
55, 0.25
56, 0.04
57, 0.34
58, 0.35
59, 0.15
60, 0.20
61, 0.28
62, 0.25
63, 0.36
64, 0.03
65, 0.21
66, 0.47
67, 0.05
68, 0.25
69, 0.46
70, 0.01
71, 0.13
72, 0.36
73, 0.25
74, 0.97
75, 0.31
76, 0.30
77, 0.60
78, 0.46
79, 0.20
80, 0.40
81, 0.62
82, 0.45
83, 0.44
84, 0.21
85, 0.16
86, 0.97
87, 0.33
88, 0.26
89, 0.01
90, 0.20
91, 0.21
92, 0.36
93, 0.68
94, 0.34
95, 0.36
96, 0.05
97, 0.23
98, 0.46
99, 0.04
100, 0.84
101, 0.50
102, 0.21
103, 0.61
104, 0.03
105, 0.54
106, 0.39
107, 0.74
108, 0.46
109, 0.22
110, 0.25
111, 0.72
112, 1.00
113, 0.14
114, 0.43
115, 0.24
116, 0.08
117, 0.37
118, 0.03
119, 0.34
120, 0.56
121, 0.37
122, 0.34
123, 0.47
124, 0.01
125, 0.34
126, 0.46
127, 0.39
128, 0.72
129, 0.89
130, 0.03
131, 0.19
132, 0.28
133, 0.44
134, 0.61
135, 0.79
136, 0.42
137, 0.96
138, 0.03
139, 0.56
140, 0.07
141, 0.16
142, 0.81
143, 0.02
144, 0.46
145, 0.25
146, 0.38
147, 0.32
148, 0.21
149, 0.18
150, 0.65
151, 0.81
152, 0.43
153, 0.60
154, 0.15
155, 0.05
156, 0.21
157, 0.30
158, 0.02
159, 0.71
160, 0.35
161, 0.19
162, 0.33
163, 0.35
164, 0.68
165, 0.21
166, 0.22
167, 0.19
168, 0.33
169, 0.15
170, 0.42
171, 0.38
172, 0.24
173, 0.04
174, 0.25
175, 0.21
176, 0.59
177, 0.21
178, 0.25
179, 0.85
180, 0.55
181, 0.04
182, 0.05
183, 0.24
184, 0.25
185, 0.51
186, 0.28
187, 0.60
188, 0.75
189, 0.13
190, 0.16
191, 0.02
192, 0.46
193, 0.89
194, 0.55
195, 0.30
196, 0.26
197, 0.32
198, 0.54
199, 0.45
200, 0.21
201, 0.55
202, 0.32
203, 0.05
204, 0.23
205, 0.14
206, 0.31
207, 0.01
208, 0.19
209, 0.29
210, 0.75
211, 0.24
212, 0.50
213, 0.05
214, 0.17
215, 0.17
216, 0.63
217, 0.42
218, 0.34
219, 0.59
220, 0.46
221, 0.32
222, 0.86
223, 0.14
224, 0.60
225, 0.19
226, 0.74
227, 0.05
228, 0.44
229, 0.03
230, 0.68
231, 0.53
232, 0.29
233, 0.04
234, 0.24
235, 0.23
236, 0.32
237, 0.04
238, 0.15
239, 0.02
240, 0.03
241, 0.08
242, 0.26
243, 0.59
244, 0.03
245, 0.50
246, 0.79
247, 0.68
248, 0.41
249, 0.47
250, 0.36
251, 0.98
252, 0.04
253, 0.03
254, 0.29
255, 0.50
256, 0.96
257, 0.27
258, 0.19
259, 0.66
260, 0.19
261, 0.40
262, 0.27
263, 0.21
264, 0.44
265, 0.20
266, 0.30
267, 0.12
268, 0.34
269, 0.09
270, 0.08
271, 0.36
272, 0.30
273, 0.28
274, 0.68
275, 0.73
276, 0.15
277, 0.33
278, 0.44
279, 0.52
280, 0.23
281, 0.33
282, 0.28
283, 0.36
284, 0.46
285, 0.96
286, 0.16
287, 0.12
288, 0.14
289, 0.29
290, 0.64
291, 0.16
292, 0.23
293, 0.14
294, 0.33
295, 0.71
296, 0.03
297, 0.05
298, 0.68
299, 0.65
300, 0.19
301, 0.18
302, 0.54
303, 0.34
304, 0.17
305, 0.03
306, 0.15
307, 0.08
308, 0.22
309, 0.41
310, 0.04
311, 0.33
312, 0.19
313, 0.26
314, 0.81
315, 0.40
316, 0.21
317, 0.40
318, 0.35
319, 0.34
320, 0.34
321, 0.25
322, 0.19
323, 0.29
324, 0.15
325, 0.33
326, 0.28
327, 0.35
328, 0.09
329, 0.86
330, 0.97
331, 0.17
332, 0.40
333, 0.15
334, 0.33
335, 0.01
336, 0.27
337, 0.28
338, 0.38
339, 0.29
340, 0.43
341, 0.15
342, 0.35
343, 0.25
344, 0.05
345, 0.19
346, 0.05
347, 0.19
348, 0.40
349, 0.01
